company,review,language,type
Google,Buen ambiente laboral de trabajo,es,Pro
Google,Tienes que presentarte a trabajar,es,Con
Google,"Multiples ventajas, desde tener un equipo dedicado y altamente competitivo, el que hayamos todos juntos traido soluciones a la mesa y el llevarlas a cabo gracias a nuestra dedicacion y perseverancia.",es,Pro
Google,"Ninguna desvntaja, fue un tiempo bastante enriquecedor. Mas bien es momento de crecer y seguir adelante con mayores oportunidades.",es,Con
Google,"- horarios flexibles 
- buenas prestaciones",es,Pro
Google,"- hablar otros idiomas
. conocimiento completo",es,Con
Google,"prestaciones
ambiente laboral
horario flexible
home office
plan de carrera",es,Pro
Google,"estrés laboral
sobrecarga de trabajo
exigencia
falta de liderazgo
transporte",es,Con
Google,Ambiente sueldo horario experiencia amigos,es,Pro
Google,Muchas horas de trabajo a,es,Con
Google,El ambiente de trabajo es muy amigable.,es,Pro
Google,A veces los proyectos se dan por terminado sin previo aviso.,es,Con
Google,El ambiente de trabajo es muy buenop,es,Pro
Google,No tiene ninguna desventaja relevante,es,Con
Google,"Las mejores prestaciones del mercado, fomentan crecimiento",es,Pro
Google,Es desgastante la presión que existe todo el tiempo,es,Con
Google,excelnte ambiente laboral y buenas prestaciones,es,Pro
Google,muy lejos del centro de la cdmx,es,Con
Google,"21 days vacations
30 days aguinaldo
Great perks (food, healthcare, massages)",en,Pro
Google,"Random lay offs, sometimes bad leadership",en,Con
Google,Buen sueldo y ambiente laboral competitivo,es,Pro
Google,"Demasiados cambios en los mandos directivos, mala comunicacon",es,Con
Google,buenas prestaciones en la vida fuera de la empresa,es,Pro
Google,"No puedes aprovecharlas por presión, se ve mal si aprovechas dichas ventajas",es,Con
Google,Muy buenos beneficios y planes de compensaciones variables,es,Pro
Google,Ninguna. Realmente es un muy buen lugar para trabajar,es,Con
Google,"sueldo competitivo, muy buen ambiente laboral, comida incluida, prestaciones, bonos, acciones, gimnasio, reembolsos",es,Pro
Google,"balance vida trabajo, competitividad, burnout, crecimiento laboral",es,Con
Google,"- Conoces muchas grandes y muy interesantes personas para trabajar 
- Buenas prestaciones y buen sueldo, competitivo pero no el mejor en benchmark. Oficinas bonitas con perks superiores. Posibilidad de labrar camino para trabajar en otra oficina global.",es,Pro
